ID,Method,b,confMin,confMax,stdErr,site_id,year_month,mat_site,sdat_site
146,MLE,-1.2298912915856393,-1.2312512915856393,-1.2285312915856392,6.938775510204224e-4,REDB,2018_3,5.6865723322103525,0.6944427773817979
147,MLE,-1.3080060574305619,-1.3107460574305618,-1.3052760574305617,0.0013954081632653282,REDB,2018_7,5.6865723322103525,0.6944427773817979
148,MLE,-1.2849844382541595,-1.2861744382541596,-1.2837944382541595,6.071428571428696e-4,REDB,2018_9,5.6865723322103525,0.6944427773817979
149,MLE,-1.3291764527304868,-1.3312764527304868,-1.3270864527304869,0.0010688775510203866,REDB,2019_10,5.6865723322103525,0.6944427773817979
150,MLE,-1.279641278301562,-1.280751278301562,-1.2785312783015619,5.663265306122731e-4,SYCA,2019_6,19.452335392925306,2.4760046327938405
151,MLE,-1.1524900896774843,-1.1545200896774843,-1.1504600896774844,0.0010357142857142737,SYCA,2020_1,19.452335392925306,2.4760046327938405
152,MLE,-1.2580215562898498,-1.2611915562898497,-1.2548615562898497,0.0016147959183673334,SYCA,2020_9,19.452335392925306,2.4760046327938405
153,MLE,-1.387972541208124,-1.388842541208124,-1.3871025412081242,0.00044387755102037063,TECR,2019_9,5.790472382148246,1.076817259040782
155,MLE,-1.2452751928380734,-1.2483951928380734,-1.2421651928380735,0.0015892857142857037,WALK,2017_3,13.903043358896445,0.6512362342173379
156,MLE,-1.1587672609107502,-1.1620772609107501,-1.1554672609107501,0.0016862244897959196,WALK,2017_7,13.903043358896445,0.6512362342173379
154,MLE,-1.1670140024513402,-1.1706240024513401,-1.16342400245134,0.0018367346938775752,WALK,2017_10,13.903043358896445,0.6512362342173379
158,MLE,-1.2433391833686838,-1.2466891833686837,-1.2399991833686839,0.0017066326530611894,WALK,2018_3,13.903043358896445,0.6512362342173379
159,MLE,-1.3099177366508954,-1.3123677366508955,-1.3074677366508953,0.0012500000000000323,WALK,2018_7,13.903043358896445,0.6512362342173379
157,MLE,-1.358566160216079,-1.361616160216079,-1.3555261602160789,0.001553571428571467,WALK,2018_10,13.903043358896445,0.6512362342173379
161,MLE,-1.2186946949944655,-1.2220446949944654,-1.2153546949944656,0.0017066326530611894,WALK,2019_3,13.903043358896445,0.6512362342173379
162,MLE,-1.240212465219065,-1.244322465219065,-1.236122465219065,0.002091836734693874,WALK,2019_7,13.903043358896445,0.6512362342173379
160,MLE,-1.3307737144830742,-1.334203714483074,-1.327363714483074,0.0017448979591836626,WALK,2019_10,13.903043358896445,0.6512362342173379
163,MLE,-1.2259727872753114,-1.2296027872753115,-1.2223527872753115,0.0018494897959183618,WALK,2020_3,13.903043358896445,0.6512362342173379
164,MLE,-1.2521043376935186,-1.2551443376935185,-1.2490843376935186,0.001545918367346927,WALK,2020_7,13.903043358896445,0.6512362342173379
165,MLE,-1.407437365093828,-1.4091673650938281,-1.405707365093828,8.826530612244946e-4,WLOU,2017_5,2.429134808302894,0.2506901863535927
166,MLE,-1.2952946706807287,-1.2971846706807286,-1.2934146706807286,9.61734693877564e-4,WLOU,2017_7,2.429134808302894,0.2506901863535927
167,MLE,-1.2387939631685085,-1.2397839631685086,-1.2378039631685085,5.051020408163502e-4,WLOU,2017_9,2.429134808302894,0.2506901863535927
168,MLE,-1.1424576520232974,-1.1439676520232973,-1.1409476520232973,7.704081632653118e-4,WLOU,2018_5,2.429134808302894,0.2506901863535927
169,MLE,-1.4580459809071185,-1.4598559809071183,-1.4562359809071184,9.23469387755091e-4,WLOU,2018_7,2.429134808302894,0.2506901863535927
170,MLE,-1.1773185488566922,-1.1779685488566922,-1.1766685488566921,3.316326530612446e-4,WLOU,2018_9,2.429134808302894,0.2506901863535927
171,MLE,-1.3640848875347633,-1.3661448875347633,-1.3620348875347634,0.00104846938775506,WLOU,2019_9,2.429134808302894,0.2506901863535927
172,MLE,-1.4384042916909971,-1.4414242916909972,-1.4353942916909972,0.0015382653061224438,WLOU,2021_5,2.429134808302894,0.2506901863535927
