sitio_area_ID,subsample_ID,Lat,Long
GUIL_2019-11-11,NA,18.1741,-66.79851
BLUE_2017-03-13,NA,34.44422,-96.6242
COMO_2017-08-30,NA,40.03496,-105.54487
KING_2018-10-15,NA,39.10506,-96.60336
LECO_2018-10-16,NA,35.69043,-83.50379
LEWI_2020-10-19,NA,39.09564,-77.98322
MCDI_2019-04-05,NA,38.94428,-96.44197
MCRA_2018-04-30,NA,44.2596,-122.16555
MCRA_2021-10-13,NA,44.2596,-122.16555
REDB_2017-07-12,NA,40.78374,-111.79765
ARIK_2016-03-31,NA,39.75825,-102.4471
ARIK_2017-03-22,NA,39.75825,-102.4471
ARIK_2021-03-30,NA,39.75825,-102.4471
BLDE_2019-09-04,NA,44.95011,-110.58715
BLDE_2020-08-30,NA,44.95011,-110.58715
BLUE_2018-07-10,NA,34.44422,-96.6242
CARI_2018-05-23,NA,65.15306,-147.50246
COMO_2016-09-06,NA,40.03496,-105.54487
COMO_2017-08-03,NA,40.03496,-105.54487
COMO_2018-06-05,NA,40.03496,-105.54487
COMO_2018-08-07,NA,40.03496,-105.54487
COMO_2019-08-26,NA,40.03496,-105.54487
CUPE_2018-11-07,NA,18.11352,-66.98676
GUIL_2017-06-21,NA,18.1741,-66.79851
GUIL_2017-11-10,NA,18.1741,-66.79851
GUIL_2019-01-28,NA,18.1741,-66.79851
GUIL_2019-06-24,NA,18.1741,-66.79851
GUIL_2021-11-23,NA,18.1741,-66.79851
KING_2016-03-31,NA,39.10506,-96.60336
KING_2017-03-27,NA,39.10506,-96.60336
KING_2019-03-29,NA,39.10506,-96.60336
KING_2019-03-29,NA,39.10506,-96.60336
LECO_2018-04-04,NA,35.69043,-83.50379
LEWI_2016-10-24,NA,39.09564,-77.98322
LEWI_2017-07-10,NA,39.09564,-77.98322
LEWI_2018-10-22,NA,39.09564,-77.98322
LEWI_2018-10-22,NA,39.09564,-77.98322
MART_2019-04-24,NA,45.79125,-121.93196
MART_2019-07-17,NA,45.79125,-121.93196
MAYF_2016-03-21,NA,32.95966,-87.40813
MAYF_2017-07-20,NA,32.95966,-87.40813
MAYF_2019-07-29,NA,32.95966,-87.40813
MAYF_2020-11-17,NA,32.95966,-87.40813
MCDI_2019-10-04,NA,38.94428,-96.44197
MCRA_2018-09-24,NA,44.2596,-122.16555
MCRA_2021-04-14,NA,44.2596,-122.16555
OKSR_2017-06-07,NA,68.66975,-149.14302
OKSR_2017-08-07,NA,68.66975,-149.14302
POSE_2016-03-23,NA,38.89332,-78.14678
POSE_2016-07-18,NA,38.89332,-78.14678
POSE_2016-10-31,NA,38.89332,-78.14678
POSE_2017-07-17,NA,38.89332,-78.14678
REDB_2019-10-03,NA,40.78374,-111.79765
SYCA_2017-07-03,NA,33.74906,-111.5069
SYCA_2020-09-30,NA,33.74906,-111.5069
WLOU_2017-05-30,NA,39.89137,-105.9154
WLOU_2017-09-14,NA,39.89137,-105.9154
WLOU_2018-07-25,NA,39.89137,-105.9154
